"doc_id","text","dropped"
"1724 UgyszNRCLUHjdsPdmnN4AaABAg","😮",NA
"1732 UgybEzJ4P64syy-BXG94AaABAg","Donal #1",NA
"1773 Ugzbt5b7A5yQG-iHHot4AaABAg","🤦🏻‍♀️🤦🏻‍♀️🤦🏻‍♀️🤦🏻‍♀️🤦🏻‍♀️🤦🏻‍♀️🤦🏻‍♀️🤦🏻‍♀️🤦🏻‍♀️🤦🏻‍♀️🤦🏻‍♀️",NA
"1800 Ugw_NTEr4LCxXncVjzl4AaABAg","🤣🤣🤣",NA
"1803 Ugxj47b4IxXer-EPUXB4AaABAg","Baidena hi ka khawngaih e mai 😢",NA
"1823 Ugzx9L_4ZnHPVj_xm2N4AaABAg","What a circus.....with clowns...😅😅😅😅😅😅😅😅😅",NA
"1840 UgwHv00m2wG_PeAFpvR4AaABAg","Yes it was! Econmy/Trump❤",NA
"1851 UgwizuTdGfrj2pDfTR54AaABAg","And by the way...  .......   .......       ....",NA
"1855 UgyXAyIQZ83L0lEMvJV4AaABAg","Cool so, RFK 2024",NA
"1880 UgzYBWrRCN4La4IMKn54AaABAg","Both are creeps",NA
"1888 Ugzhc0O1VF-ChsMqeeR4AaABAg","The over the hill gang.",NA
"1891 Ugwlmqb0Lk4uF3a9xnJ4AaABAg","https://youtu.be/nNmDomke5Dc?si=OjKEYrrFRVi8J9tF",NA
"1902 UgzpNRpjlKDQ0A-1AHx4AaABAg","😂trump",NA
"1904 UgzVZy_Wuy0Tc-n5vHF4AaABAg","Omg me T🥴",NA
"1913 Ugyw8_RkG7WU_muUot14AaABAg","This english is very dufficulte 😢😢😢 am from Congo Drc",NA
"1919 UgxynRFw4fBQlAW56it4AaABAg","Ufz48v70",NA
"1925 UgwGB8Tf63t7wMBD1lR4AaABAg","Very naice",NA
"1934 UgwMRI9Vd-5oSLqrZEp4AaABAg","They all are herion",NA
"1952 UgwiHF0kk3bAFApXWZp4AaABAg","45👍",NA
"1968 Ugyq1aEX-WmdYKipWMJ4AaABAg","$1T COIN",NA
"1972 UgxoQo4fLRi_Q1Yn5y14AaABAg","Old electricity",NA
"2013 UgxRxhYtyUY2c1pt1UR4AaABAg","Jai Jai USA 🇺🇸 🙏 ✨️",NA
"2028 UgyW3NNJlrCHGNll4dN4AaABAg","janet yellen",NA
